                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2217,                 8.4967,                 4.1287,                 0.0293,                0.07591,                0.00562,                0.00169,                 2.9577,                 12.453,                 3.9584,              0.0033191,              0.0033191,              0.0033191
                      2,                 2.2753,                 6.1223,                 2.9673,                0.07159,                0.29623,                 0.0459,                0.02395,                 1.8281,                 5.2733,                 2.5495,              0.0065866,              0.0065866,              0.0065866
                      3,                 1.7597,                 5.0686,                 2.3439,                0.11674,                0.15695,                  0.065,                0.03101,                 1.9815,                 5.9625,                 2.6358,              0.0097881,              0.0097881,              0.0097881
                      4,                 1.5349,                 4.3429,                 2.0613,                0.35375,                0.39829,                0.33364,                0.20825,                  1.441,                 3.6108,                 1.9723,               0.009703,               0.009703,               0.009703
                      5,                 1.4362,                 3.7902,                 1.9433,                0.52495,                0.47258,                0.46376,                0.29134,                  1.392,                 3.0737,                 1.9009,               0.009604,               0.009604,               0.009604
                      6,                 1.3814,                 3.4111,                  1.877,                0.60052,                0.51892,                0.54053,                0.35673,                 1.2962,                 2.7785,                 1.8378,               0.009505,               0.009505,               0.009505
                      7,                 1.3273,                 3.1259,                 1.8157,                0.70504,                0.57059,                0.63657,                0.41214,                 1.3304,                 2.4056,                 1.8395,               0.009406,               0.009406,               0.009406
                      8,                 1.2959,                 2.8971,                 1.7829,                0.70745,                0.60218,                0.66217,                0.43457,                 1.2772,                 2.2738,                  1.788,               0.009307,               0.009307,               0.009307
                      9,                 1.2672,                 2.6827,                 1.7506,                0.73784,                0.59633,                0.68783,                0.46185,                 1.2455,                 2.2034,                 1.7392,               0.009208,               0.009208,               0.009208
                     10,                 1.2409,                 2.5038,                 1.7237,                0.75164,                0.61484,                0.70141,                0.47533,                  1.222,                  2.055,                 1.7312,               0.009109,               0.009109,               0.009109
                     11,                 1.2228,                 2.3884,                 1.7086,                  0.783,                0.65158,                0.74309,                0.51017,                  1.171,                 1.9047,                  1.684,                0.00901,                0.00901,                0.00901
                     12,                 1.1967,                 2.2606,                 1.6849,                 0.8016,                0.65961,                0.75637,                0.52504,                 1.1674,                 1.8217,                 1.6781,               0.008911,               0.008911,               0.008911
                     13,                 1.1845,                 2.1704,                 1.6691,                0.81596,                0.66155,                0.76365,                0.52939,                 1.1573,                 1.7663,                 1.6955,               0.008812,               0.008812,               0.008812
                     14,                 1.1773,                 2.1015,                 1.6648,                0.82059,                0.68033,                0.77605,                0.54138,                 1.1413,                 1.7393,                 1.6733,               0.008713,               0.008713,               0.008713
                     15,                 1.1491,                 2.0066,                 1.6343,                0.79944,                0.68307,                0.77504,                0.54318,                 1.1322,                 1.7353,                 1.6621,               0.008614,               0.008614,               0.008614
                     16,                 1.1378,                 1.9379,                 1.6302,                0.83249,                0.69636,                0.78966,                0.55251,                 1.1464,                 1.6388,                 1.6769,               0.008515,               0.008515,               0.008515
                     17,                 1.1228,                 1.8725,                 1.6171,                0.84465,                0.70973,                0.79618,                0.55808,                 1.1328,                 1.5874,                 1.6839,               0.008416,               0.008416,               0.008416
                     18,                 1.1067,                  1.814,                 1.6022,                0.82136,                0.72219,                0.79983,                 0.5602,                 1.1243,                 1.5667,                 1.6759,               0.008317,               0.008317,               0.008317
                     19,                 1.0957,                  1.738,                 1.5922,                0.84121,                 0.7199,                0.80172,                0.57029,                 1.0836,                 1.5274,                 1.6582,               0.008218,               0.008218,               0.008218
                     20,                 1.0836,                 1.7006,                 1.5828,                0.86014,                0.70887,                 0.7976,                0.55641,                 1.1343,                 1.5478,                 1.6924,               0.008119,               0.008119,               0.008119
                     21,                 1.0688,                  1.651,                 1.5712,                0.84774,                 0.7221,                0.80853,                0.57612,                 1.0887,                 1.5118,                 1.6659,                0.00802,                0.00802,                0.00802
                     22,                 1.0651,                 1.6345,                 1.5723,                 0.8354,                0.73398,                0.80677,                0.58099,                 1.0661,                 1.4665,                 1.6364,               0.007921,               0.007921,               0.007921
                     23,                 1.0536,                  1.584,                 1.5653,                0.85007,                0.72306,                 0.8097,                0.56848,                 1.1315,                 1.4908,                 1.6936,               0.007822,               0.007822,               0.007822
                     24,                 1.0374,                 1.5572,                 1.5491,                0.81355,                0.73339,                0.80617,                0.57175,                 1.1018,                 1.4895,                  1.685,               0.007723,               0.007723,               0.007723
                     25,                  1.028,                 1.5154,                 1.5423,                0.86072,                0.72957,                0.81581,                0.58519,                 1.0842,                 1.4552,                 1.6698,               0.007624,               0.007624,               0.007624
                     26,                 1.0178,                 1.4782,                 1.5362,                0.85594,                0.73039,                0.81529,                0.58762,                 1.0713,                 1.4337,                  1.661,               0.007525,               0.007525,               0.007525
                     27,                 1.0135,                  1.456,                  1.528,                0.82816,                0.72916,                0.81165,                0.58321,                 1.0802,                 1.4545,                  1.688,               0.007426,               0.007426,               0.007426
                     28,                0.99715,                 1.4326,                 1.5067,                0.85823,                0.74116,                0.81827,                0.58768,                 1.0806,                 1.4273,                 1.6637,               0.007327,               0.007327,               0.007327
                     29,                0.98873,                 1.4028,                 1.5082,                0.83935,                0.74131,                0.82063,                0.58875,                 1.0736,                 1.4123,                 1.6676,               0.007228,               0.007228,               0.007228
                     30,                0.98497,                 1.3853,                 1.5078,                0.87654,                0.73195,                 0.8239,                0.59923,                 1.0604,                 1.3889,                 1.6508,               0.007129,               0.007129,               0.007129
                     31,                0.98099,                 1.3637,                 1.5064,                0.83586,                0.75693,                0.82598,                0.60151,                 1.0612,                 1.3523,                  1.666,                0.00703,                0.00703,                0.00703
                     32,                0.96709,                 1.3348,                 1.4945,                0.85442,                0.73291,                 0.8199,                0.59493,                 1.0579,                 1.3736,                 1.6594,               0.006931,               0.006931,               0.006931
                     33,                0.96577,                 1.3253,                 1.4891,                0.84211,                0.75091,                0.82436,                 0.5963,                 1.0693,                 1.3639,                 1.6887,               0.006832,               0.006832,               0.006832
                     34,                0.94886,                 1.2973,                 1.4781,                0.84863,                 0.7466,                0.82219,                0.59521,                 1.0682,                 1.3667,                 1.6939,               0.006733,               0.006733,               0.006733
